epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,771.564,1.48728,2.54691,1.43191,0.60614,0.35408,0.36833,0.20884,1.43581,2.17297,1.42794,0.000172025,0.000172025,0.000172025
2,1314.49,1.38908,1.4222,1.35401,0.48592,0.43429,0.39687,0.24189,1.30753,2.56046,1.38676,0.000340481,0.000340481,0.000340481
3,1744.16,1.36934,1.2257,1.35166,0.588,0.38074,0.38218,0.22841,1.45039,1.87067,1.64421,0.000501993,0.000501993,0.000501993
4,2272.9,1.37816,1.22105,1.36563,0.58977,0.4057,0.4316,0.26224,1.3916,1.84603,1.48544,0.000494756,0.000494756,0.000494756
5,2891.34,1.36832,1.18424,1.33044,0.66147,0.50105,0.43545,0.26609,1.31219,1.9937,1.42703,0.000484341,0.000484341,0.000484341
6,3479.56,1.34842,1.11761,1.33531,0.62037,0.52935,0.49974,0.32021,1.21325,1.19198,1.34092,0.000473926,0.000473926,0.000473926
7,3969.18,1.33243,1.08726,1.32966,0.74373,0.47047,0.50111,0.31968,1.23345,1.06733,1.35237,0.000463511,0.000463511,0.000463511
8,4539.3,1.31944,1.07136,1.31752,0.80896,0.46606,0.5165,0.33796,1.19024,0.96856,1.30592,0.000453096,0.000453096,0.000453096
9,5134.17,1.27968,0.98326,1.28562,0.69557,0.54832,0.54826,0.36178,1.16415,0.90777,1.29696,0.000442682,0.000442682,0.000442682
10,5596.6,1.26778,0.94584,1.29207,0.85656,0.49333,0.53939,0.35129,1.18994,0.93568,1.30915,0.000432267,0.000432267,0.000432267
11,6095.1,1.24679,0.93474,1.27327,0.63236,0.62532,0.56151,0.36789,1.12622,0.90235,1.26786,0.000421852,0.000421852,0.000421852
12,6704.42,1.22944,0.90186,1.25449,0.7104,0.55928,0.57904,0.39416,1.12219,0.81107,1.2704,0.000411437,0.000411437,0.000411437
13,7271.17,1.20312,0.84872,1.24765,0.819,0.53306,0.58865,0.4039,1.07987,0.78537,1.23499,0.000401022,0.000401022,0.000401022
14,7717.48,1.18412,0.83201,1.24443,0.73659,0.64315,0.63262,0.42661,1.09295,0.77016,1.2375,0.000390608,0.000390608,0.000390608
15,8285.88,1.18381,0.82835,1.23945,0.73536,0.60613,0.61801,0.4174,1.05826,0.80058,1.22816,0.000380193,0.000380193,0.000380193
16,8880.45,1.18357,0.82584,1.22259,0.63771,0.62798,0.63536,0.43009,1.07931,0.74416,1.23309,0.000369778,0.000369778,0.000369778
17,9589.2,1.16347,0.77513,1.20462,0.60178,0.71576,0.64217,0.44138,1.04903,0.70494,1.21049,0.000359363,0.000359363,0.000359363
18,70923.1,1.16969,0.78837,1.21502,0.67485,0.70913,0.69534,0.48548,1.04734,0.66229,1.19213,0.000348948,0.000348948,0.000348948
19,71539.5,1.1311,0.75018,1.20201,0.70957,0.68423,0.67705,0.479,1.00365,0.62649,1.17913,0.000338534,0.000338534,0.000338534
20,72040,1.11483,0.73881,1.19404,0.69062,0.71786,0.70288,0.49601,1.00465,0.62767,1.1832,0.000328119,0.000328119,0.000328119
21,72544,1.11042,0.69931,1.18184,0.81612,0.66331,0.72208,0.50402,0.99541,0.62178,1.18163,0.000317704,0.000317704,0.000317704
22,73060.9,1.10327,0.70201,1.18565,0.77279,0.70112,0.72375,0.51194,1.0417,0.61563,1.19439,0.000307289,0.000307289,0.000307289
23,73565.5,1.08055,0.69813,1.16423,0.64277,0.80381,0.74828,0.54424,0.95863,0.59622,1.14545,0.000296874,0.000296874,0.000296874
24,74214.3,1.05646,0.67429,1.14902,0.77325,0.77261,0.77078,0.5577,0.96106,0.55335,1.15541,0.00028646,0.00028646,0.00028646
25,74768.6,1.06037,0.65874,1.14074,0.7787,0.71609,0.7762,0.57346,0.94816,0.54286,1.12834,0.000276045,0.000276045,0.000276045
26,75341.6,1.03848,0.65127,1.15022,0.69409,0.80975,0.78319,0.57627,0.93807,0.54392,1.13456,0.00026563,0.00026563,0.00026563
27,75904,1.03056,0.62239,1.13143,0.81068,0.72412,0.79013,0.6023,0.87178,0.52657,1.09247,0.000255215,0.000255215,0.000255215
28,76426.1,1.02019,0.62368,1.132,0.7672,0.82317,0.80453,0.60503,0.8873,0.51529,1.10287,0.0002448,0.0002448,0.0002448
29,76981.8,1.01205,0.61056,1.12062,0.73732,0.79965,0.80567,0.61334,0.85873,0.49885,1.08337,0.000234386,0.000234386,0.000234386
30,77488.2,0.97401,0.60401,1.10781,0.81938,0.81498,0.84018,0.626,0.84041,0.48884,1.08195,0.000223971,0.000223971,0.000223971
31,78076,0.97807,0.6003,1.11606,0.81263,0.79916,0.82875,0.63453,0.84403,0.47575,1.07199,0.000213556,0.000213556,0.000213556
32,78748.6,0.97713,0.5901,1.10014,0.71624,0.85973,0.84673,0.65761,0.8302,0.45585,1.06406,0.000203141,0.000203141,0.000203141
33,79321.9,0.95445,0.57178,1.09486,0.85048,0.8327,0.86625,0.68605,0.79873,0.4533,1.04577,0.000192726,0.000192726,0.000192726
34,79978,0.92808,0.57098,1.08704,0.85259,0.83382,0.89089,0.71039,0.77834,0.42417,1.03924,0.000182312,0.000182312,0.000182312
35,80497.3,0.92638,0.56201,1.08204,0.87935,0.84075,0.89481,0.70888,0.7828,0.42435,1.03415,0.000171897,0.000171897,0.000171897
36,81079,0.90546,0.53567,1.07401,0.89126,0.81609,0.90785,0.7177,0.78112,0.41533,1.0257,0.000161482,0.000161482,0.000161482
37,81595.2,0.90748,0.53262,1.05875,0.859,0.90801,0.92421,0.74432,0.74861,0.3948,1.01483,0.000151067,0.000151067,0.000151067
38,82157.9,0.89033,0.52008,1.0513,0.90209,0.85243,0.93347,0.75992,0.73076,0.382,1.00125,0.000140652,0.000140652,0.000140652
39,82664.8,0.88027,0.50615,1.04998,0.86921,0.90352,0.92257,0.75919,0.71334,0.3879,0.99251,0.000130238,0.000130238,0.000130238
40,83483.7,0.85622,0.50528,1.04608,0.85081,0.92322,0.95141,0.78733,0.70242,0.37271,0.98806,0.000119823,0.000119823,0.000119823
41,83.5565,0.85063,0.45477,1.04302,0.90107,0.90168,0.95177,0.79332,0.70966,0.374,0.98201,0.000109408,0.000109408,0.000109408
42,153.925,0.84044,0.43608,1.02289,0.86422,0.9382,0.94793,0.79833,0.70103,0.3663,0.97954,9.89932e-05,9.89932e-05,9.89932e-05
43,229.449,0.81748,0.42276,1.01389,0.89237,0.93508,0.94976,0.80315,0.67234,0.35171,0.96413,8.85784e-05,8.85784e-05,8.85784e-05
44,304.695,0.80339,0.41278,1.01495,0.93058,0.92618,0.95727,0.8176,0.65832,0.34479,0.9594,7.81636e-05,7.81636e-05,7.81636e-05
45,379.853,0.80431,0.4037,1.01664,0.9232,0.92179,0.96123,0.8167,0.65439,0.34164,0.96323,6.77488e-05,6.77488e-05,6.77488e-05
46,454.537,0.77762,0.38921,1.00365,0.94796,0.9236,0.9667,0.82795,0.63514,0.33067,0.95262,5.7334e-05,5.7334e-05,5.7334e-05
47,529.625,0.75214,0.37646,0.99288,0.95008,0.9386,0.97037,0.83789,0.62179,0.32314,0.94299,4.69192e-05,4.69192e-05,4.69192e-05
48,604.799,0.7563,0.38161,0.98757,0.93395,0.95676,0.97468,0.84149,0.61548,0.32068,0.93711,3.65044e-05,3.65044e-05,3.65044e-05
49,679.776,0.74736,0.36658,0.98343,0.9528,0.94741,0.97548,0.85129,0.61048,0.31687,0.93566,2.60896e-05,2.60896e-05,2.60896e-05
